"","X.1","X","PA","cover","suitability8","suitability9","bathy_m","slope","bpi_broad","bpi_fine","sub_type","rei","temp1m_median","temp1m_qrange","ws1m_q90","coords.lat","coords.lon","biomass"
"55",253,253,0,0,233,191,-6.598674297,0.208115786,10,-2,1,0.084167175,12.64299965,1.123999953,0.046999998,44.90656139,-62.30657117,23.549243
"56",254,254,0,0,417,476,-3.470244884,0.062380247,11,0,1,0.002944869,14.82499981,1.131000042,0.066,44.90425848,-62.34339594,23.549243
"57",255,255,0,0,650,629,-1.455809355,0.314495504,14,1,1,0.04525112,15.0710001,1.988000035,0.07,44.90421232,-62.33541638,23.549243
"58",256,256,0,0,525,523,-1.582359791,0.877612174,14,0,1,0.003054881,15.78800011,2.529000044,0.066,44.90321523,-62.32656127,23.549243
"59",257,257,0,0,494,414,-2.317309618,1.674658418,13,0,1,0.018916445,14.6239996,1.590999961,0.088,44.90267045,-62.34119739,23.549243
"60",258,258,0,0,509,565,-2.073505878,0.549812198,14,0,1,0.004847081,14.27000046,2.380000114,0.082000002,44.90041619,-62.33280027,23.549243
"61",259,259,0,0,100,412,-2.392088175,1.552013755,14,0,1,0.067659765,14.20800018,2.459000111,0.142000005,44.89849207,-62.3270597,23.549243
"62",260,260,0,0,129,594,-1.190701723,0.317863047,15,1,2,0.015133086,13.73799992,2.266000032,0.101000004,44.89788021,-62.33016986,23.549243
"63",261,261,0,0,73,279,-2.673226595,2.438042164,9,3,3,0.067849949,12.34799957,0.922999978,0.045000002,44.89331357,-62.41665746,23.549243
"64",262,262,0,0,42,154,-8.633968353,5.674665928,4,1,3,0.043413945,10.76900005,0.760999978,0.054000001,44.89160409,-62.39096675,23.549243
"65",263,263,0,0,30,54,-6.302090645,1.835681558,16,3,0,0.515502393,12.28600025,0.681999981,0.088,44.88975501,-62.19419352,23.549243
"66",264,264,0,0,178,157,-7.398473263,0.262437463,10,-2,1,0.103763215,12.20899963,1.027999997,0.066,44.88753,-62.33826777,23.549243
"67",265,265,0,0,53,217,-1.762222886,0.636139393,17,6,0,0.206500933,12.37199974,1.055999994,0.067000002,44.88586644,-62.32321815,23.549243
"68",266,266,0,0,36,69,-3.888958931,4.025569916,16,10,3,0.28744939,10.77099991,0.686999977,0.068999998,44.88291106,-62.30330995,23.549243
"69",267,267,0,0,75,353,-2.715205669,0.437634319,15,5,3,0.141226411,11.87300014,0.758000016,0.075000003,44.88184619,-62.3361171,23.549243
"70",268,268,0,0,57,91,-4.137556076,0.223760352,18,6,3,0.480396867,11.04500008,0.552999973,0.079000004,44.88023658,-62.27852562,23.549243
"71",269,269,0,0,75,367,-2.92825985,3.474280596,8,8,3,0.005199446,11.39799976,1.026000023,0.046999998,44.88007414,-62.48060524,23.549243
"72",270,270,0,0,29,51,-6.87218523,4.628820419,14,5,3,0.38306281,11.29699993,0.816999972,0.082000002,44.87873629,-62.29050921,23.549243
"73",271,271,0,0,49,176,-4.992526054,2.720640659,6,6,2,0.005649485,11.90200043,1.157999992,0.039000001,44.87471205,-62.47932414,23.549243
"74",272,272,0,0,29,66,-7.27087307,7.146867275,12,2,0,0.224061489,11.57400036,0.615999997,0.082999997,44.86953588,-62.33227099,23.549243
"75",273,273,0,0,32,77,-6.996089935,1.460284352,8,5,3,0.172475278,11.40200043,0.791999996,0.071999997,44.86705791,-62.39654228,23.549243
"76",274,274,0,0,114,548,-0.913282514,0.421187699,13,3,2,0.005475774,12.21199989,1.018000007,0.035,44.86656963,-62.42401642,23.549243
"77",275,275,0,0,367,444,-1.071991205,0.315817982,13,1,1,0.001770776,14.47500038,3,0.071999997,44.85788529,-62.4520109,23.549243
"78",276,276,0,0,321,417,-1.013960719,0.644827485,13,0,1,0.001502982,15.56999969,3.21600008,0.086999997,44.85727634,-62.45644645,23.549243
"79",277,277,0,0,324,290,-3.799601555,2.614219904,11,0,1,0.03408955,12.79399967,2.075000048,0.052999999,44.85627361,-62.44449569,23.549243
"80",278,278,0,0,438,492,-1.739285946,0.277266085,9,2,1,0.002978325,14.9119997,1.86500001,0.026000001,44.8548386,-62.54771895,23.549243
"81",279,279,0,0,251,352,-2.020848751,1.098790526,9,0,2,0.002573867,14.92500019,2.072000027,0.024,44.85451121,-62.54462082,23.549243
"82",280,280,0,0,371,434,-0.980360031,0.95871532,13,0,2,0.002224213,14.75800037,2.786000013,0.082999997,44.85383166,-62.46090837,23.549243
"83",281,281,0,0,59,221,-2.909752369,2.225597382,13,2,2,0.124005765,11.83500004,1.070000052,0.063000001,44.85216053,-62.44099173,23.549243
"84",282,282,0,0,51,137,-8.029528618,0.410661668,8,-1,1,0.113746867,11.4630003,0.927999973,0.064999998,44.84995293,-62.44057016,23.549243
"85",283,283,0,0,29,69,-10.13979149,4.609451294,8,0,3,0.226419434,11.35000038,0.623000026,0.067000002,44.84969917,-62.39096562,23.549243
"86",284,284,0,0,394,519,-1.351464987,0.246817186,10,3,1,0.002844145,14.16399956,1.70599997,0.028999999,44.84978699,-62.54510097,23.549243
"87",285,285,0,0,263,450,-0.356395066,0.59522146,12,3,1,0.000874332,13.96399975,1.791000009,0.024,44.84599026,-62.54114483,23.549243
"88",286,286,0,0,57,242,-3.454745531,3.639762163,10,5,1,0.001630747,11.97799969,0.852999985,0.046,44.84183108,-62.52567777,23.549243
"89",288,288,0,0,35,61,-4.897581577,6.643687248,14,3,0,0.364954263,11.29300022,1.031999946,0.093000002,44.83882422,-62.42030739,23.549243
"90",289,289,0,0,333,416,-0.292535752,0.906699717,11,2,1,0.00083864,16.2140007,2.299999952,0.029999999,44.83867315,-62.60674252,23.549243
"91",290,290,0,0,140,182,-8.276819229,0.687960684,2,-2,1,0.059907168,12.07999992,1.223999977,0.039000001,44.83271848,-62.6160816,23.549243
"92",291,291,0,0,408,208,-1.079219699,1.32438457,17,6,3,0.16241692,11.35000038,1.034000039,0.059,44.83172667,-62.45048772,23.549243
"93",292,292,0,0,144,135,-7.195467949,3.41445446,3,0,1,0.071405888,12.33399963,1.177999973,0.034000002,44.83178069,-62.61830174,23.549243
"94",295,295,0,0,31,54,-5.972332478,2.325051069,13,11,3,0.520447969,10.46500015,0.637000024,0.064000003,44.81150604,-62.50733605,23.549243
"95",298,298,0,0,306,429,-1.820211291,0.664407969,13,0,1,0.001455621,14.13500023,1.167999983,0.057999998,44.80697161,-62.64369317,23.549243
"96",299,299,0,0,52,151,-2.997889757,2.100661516,15,0,3,0.155802146,12.78899956,1.144000053,0.104999997,44.80473768,-62.54678288,23.549243
"97",300,300,0,0,281,316,-2.952956915,1.739255786,12,0,1,0.001631753,13.84300041,0.964999974,0.118000001,44.8044455,-62.64193842,23.549243
"98",301,301,0,0,307,437,-1.753173828,0.703689575,13,1,1,0.001102364,13.79399967,1.116999984,0.064000003,44.80226333,-62.64947538,23.549243
"99",302,302,0,0,247,183,-3.303248644,0.6913082,15,0,2,0.186621711,12.58899975,1.235000014,0.052999999,44.8015975,-62.54946277,23.549243
"100",303,303,0,0,33,59,-5.027970314,2.327304602,14,4,2,0.368462473,11.56499958,1.407999992,0.041999999,44.79723813,-62.56277224,23.549243
"101",304,304,0,0,75,414,-2.565834284,1.587551951,12,1,3,0.030982999,13.99499989,1.366000056,0.07,44.79448108,-62.68182479,23.549243
"102",307,307,0,0,72,185,1,8.074457169,19,16,0,0.264363945,10.06900024,1.335999966,0.050999999,44.78138106,-62.62217315,23.549243
"103",308,308,0,0,36,147,-7.973174095,3.224961042,7,1,3,0.034839816,10.64799976,1.40199995,0.039999999,44.78037131,-62.70756087,23.549243
"104",309,309,0,0,148,136,-7.044773102,0.449533761,11,-1,1,0.1223066,11.19299984,0.967999995,0.083999999,44.77775461,-62.67218453,23.549243
"105",311,311,0,0,218,185,-4.829893589,2.741820812,8,3,3,0.017612245,10.57600021,0.883000016,0.055,44.77636245,-62.74385453,23.549243
"106",313,313,0,0,99,532,-0.673525393,2.047018766,12,3,2,0.002865719,13.07499981,1.309999943,0.155000001,44.77324067,-62.75713837,23.549243
"107",316,316,0,0,295,284,-4.932470322,0.057970699,-1,0,1,0.003901636,16.88699913,0.709999979,0.034000002,44.76971362,-63.03138414,23.549243
"108",317,317,0,0,45,136,-4.665659904,5.445517063,11,9,0,0.12567766,10.41499996,0.851999998,0.063000001,44.76811763,-62.72133388,23.549243
"109",318,318,0,0,41,122,-5.368802547,2.4697752,10,7,2,0.10593012,10.40100002,0.847000003,0.043000001,44.76622933,-62.72222752,23.549243
"110",319,319,0,0,210,251,-9.756685257,0.067696504,1,0,1,0.011468626,11.16100025,0.972000003,0.079999998,44.76543906,-62.79564903,23.549243
"111",322,322,0,0,135,152,-6.784888744,1.212717295,6,0,1,0.005208494,11.82499981,1.085000038,0.071000002,44.75754345,-62.78550591,23.549243
"112",323,323,0,0,97,508,-2.665659428,3.223941565,13,3,1,0.003694355,12.93400002,1.039000034,0.054000001,44.75680953,-62.73598115,23.549243
"113",324,324,0,0,64,369,-3.574845791,4.367881298,13,0,1,0.00230111,13.43000031,1.215000033,0.027000001,44.75616385,-62.72935102,23.549243
"114",325,325,0,0,524,497,-0.259319782,2.792854071,13,3,2,0.002562886,12.72799969,1.425999999,0.089000002,44.75409225,-62.79347807,23.549243
"115",329,329,0,0,417,404,-2.434602261,0.851291895,4,1,1,0.005074814,14.64700031,2.684999943,0.125,44.74419194,-63.03181245,23.549243
"116",331,331,0,0,36,70,-3.838727951,2.133253098,14,9,3,0.299685657,10.44099998,0.966000021,0.071999997,44.74164898,-62.72057687,23.549243
"117",332,332,0,0,427,510,0.205351233,0.344862252,4,1,0,0.000782815,20.84900093,3.349999905,0.377000004,44.74035165,-63.12066925,23.549243
"118",335,335,0,0,477,477,0.212010458,0.181516841,5,0,0,0.000606376,20.75200081,3.845999956,0.365999997,44.73783285,-63.11889575,23.549243
"119",337,337,0,0,330,372,-1.957541108,0.804677546,6,0,1,0.002442983,15.96899986,1.830000043,0.122000001,44.73473973,-63.03092318,23.549243
"120",340,340,0,0,208,178,-8.253155708,0.178245768,7,0,1,0.101440996,10.54300022,0.92900002,0.059,44.73238526,-62.81300437,23.549243
"121",344,344,0,0,609,528,0.166844442,1.550603628,11,3,1,0.002509598,15.50899982,3.223999977,0.291999996,44.73033104,-63.01987064,23.549243
"122",346,346,0,0,624,629,0.817964256,0.460001022,7,1,1,0.002498039,19.30900002,5.951000214,0.256999999,44.72902441,-63.10473377,23.549243
"123",351,351,0,0,75,410,-1.321126103,0.837304711,15,4,3,0.001297513,11.9090004,1.128000021,0.035,44.72609079,-62.81744441,23.549243
"124",352,352,0,0,583,473,-0.1978378,0.939942062,12,3,1,0.002072274,14.62300014,4.632999897,0.458000004,44.72592089,-63.01279754,23.549243
"125",353,353,0,0,416,249,-1.214796543,0.985154092,14,4,1,0.16704616,11.56200027,1.440999985,0.085000001,44.72590158,-62.93235825,23.549243
"126",356,356,0,0,587,497,-0.493823797,0.41030249,12,3,1,0.002036218,14.36200047,4.659999847,0.414999992,44.72466079,-63.01058744,23.549243
"127",359,359,0,0,407,267,-1.322195172,0.536633849,15,1,1,0.215488166,12.41899967,1.58099997,0.068999998,44.72303577,-62.89302785,23.549243
"128",364,364,0,0,37,85,-3.6897645,2.020292282,13,5,3,0.259214997,10.69699955,1.215000033,0.075999998,44.7199015,-62.91247847,23.549243
"129",367,367,0,0,573,612,0.396842808,0.162694782,9,0,1,0.001541509,18.7140007,5.06799984,0.170000002,44.71924886,-63.11311268,23.549243
"130",368,368,0,0,653,625,1,0.582878411,10,2,3,0.002782667,18.06699944,6.830999851,1.485000014,44.71926646,-63.09366808,23.549243
"131",370,370,0,0,687,589,1,0.089427277,9,0,1,0.001568065,19.96500015,3.640000105,0.151999995,44.71765708,-63.12857648,23.549243
"132",371,371,0,0,665,535,1,0,10,0,0,0.000511924,18.56900024,3.938999891,0.086999997,44.71703466,-63.12150459,23.549243
"133",372,372,0,0,363,411,-1.161505818,1.241098881,17,0,0,0.001233084,14.56499958,3.108999968,0.068999998,44.71694773,-62.81393791,23.549243
"134",373,373,0,0,214,61,-4.61211729,1.508031845,14,12,3,0.408140749,9.592000008,1.069000006,0.085000001,44.71624933,-62.7759367,23.549243
"135",376,376,0,0,761,700,0.653632462,0.354315132,11,2,1,0.032286711,16.97400093,6.760000229,0.51700002,44.7151763,-63.08614931,23.549243
"136",381,381,0,0,462,468,0.527696192,0.219597027,10,0,1,0.000580946,18.19799995,4.131999969,0.196999997,44.71357824,-63.11221788,23.549243
"137",385,385,0,0,675,643,0.675533712,0.81414324,20,2,1,0.061863672,13.61100006,1.791000009,0.090000004,44.71035779,-62.8311914,23.549243
"138",388,388,0,0,260,480,1,0.622909606,21,1,2,0.000465211,13.09200001,1.565000057,0.207000002,44.71005911,-62.84268046,23.549243
"139",391,391,0,0,52,144,-1.157525063,1.540143967,16,5,1,0.231561869,11.43400002,1.337000012,0.082999997,44.70984887,-62.97170177,23.549243
"140",392,392,0,0,627,474,-2.219312906,0.089685835,14,3,1,0.126883253,12.61800003,3.463000059,0.356000006,44.7095371,-63.00660803,23.549243
"141",401,401,0,0,575,640,0.248826802,0.742463768,20,2,3,0.156173155,13.44999981,1.541000009,0.097999997,44.70751677,-62.82766498,23.549243
"142",411,411,0,0,661,610,-2.300977945,0.213734552,18,0,1,0.075345054,12.62899971,1.480000019,0.209999993,44.70439004,-62.84446305,23.549243
"143",420,420,0,0,30,68,-5.826982021,2.359621048,14,7,3,0.229082927,9.975999832,1.110999942,0.104000002,44.70179522,-62.7971984,23.549243
"144",424,424,0,0,689,550,-0.605963349,0.399864167,9,0,0,0.084380537,15.63000011,6.578999996,0.25999999,44.7002659,-63.17492477,23.549243
"145",430,430,0,0,384,167,-1.07525146,3.359582901,19,7,3,0.190340117,10.38799953,1.190999985,0.135000005,44.69897633,-62.80692717,23.549243
"146",448,448,0,0,769,708,0.691811621,0.084527209,14,0,1,0.003230753,13.31299973,5.494999886,0.181999996,44.69310736,-63.10201867,23.549243
"147",449,449,0,0,475,272,0.177262023,1.72290647,23,13,3,0.127995461,10.07800007,1.139000058,0.125,44.69309952,-62.88954917,23.549243
"148",450,450,0,0,326,119,-2.886972904,2.106273413,20,6,3,0.18746148,10.76599979,1.332000017,0.101999998,44.69275034,-62.85862931,23.549243
"149",452,452,0,0,723,659,0.682812512,0.011954269,14,1,1,0.00263738,13.24400043,5.117000103,0.245000005,44.69153035,-63.10378275,23.549243
"150",453,453,0,0,699,642,1,0.004081539,14,1,1,0.002487531,12.87199974,4.650000095,0.333000004,44.69090563,-63.09759773,23.549243
"151",455,455,0,0,128,411,-0.166188791,3.989276171,21,10,0,0.043190945,10.00500011,0.815999985,0.064999998,44.68999846,-62.97126974,23.549243
"152",457,457,0,0,558,303,-0.432213694,1.441141367,10,2,2,0.150493592,13.15400028,3.90899992,0.208000004,44.68798566,-63.16958758,23.549243
"153",462,462,0,0,31,53,-6.213067532,2.308823586,18,15,3,0.520622492,8.899999619,0.861000001,0.094999999,44.67576508,-62.88472458,23.549243
"154",465,465,0,0,710,649,-1.5,0,5,0,1,0.002943974,16.64900017,2.960999966,0.045000002,44.67019678,-63.45345262,23.549243
"155",472,472,0,0,678,629,-1.5,0,6,0,1,0.002875513,15.82400036,1.590999961,0.079999998,44.66548982,-63.44855926,23.549243
"156",473,473,0,0,706,645,-1.5,0,6,0,1,0.003634737,13.48400021,0.663999975,0.037999999,44.66521586,-63.43796085,23.549243
"157",475,475,0,0,630,570,-1.500360727,0.132970065,6,0,1,0.002749532,14.87699986,0.938000023,0.037,44.66361833,-63.44368833,23.549243
"158",478,478,0,0,500,511,-1.565669656,0.506267369,8,0,1,0.003255106,15.15600014,1.019000053,0.041999999,44.65924959,-63.43261833,23.549243
"159",479,479,0,0,534,532,-1.521659851,0.372742265,8,0,1,0.003181473,14.41100025,0.995999992,0.041000001,44.65767921,-63.43128229,23.549243
"160",480,480,0,0,668,510,-1.530500889,0.101042882,9,0,1,0.003217363,14.69099998,1.251000047,0.057999998,44.65708042,-63.42289028,23.549243
"161",481,481,0,0,365,392,-1.719051242,0.56832993,9,0,1,0.002008235,15.40699959,1.832000017,0.266000003,44.65677512,-63.42023937,23.549243
"162",482,482,0,0,662,611,-1.5,0,9,0,1,0.002840929,15.40600014,1.289000034,0.035999998,44.65549684,-63.42508597,23.549243
"163",483,483,0,0,311,371,-2.089337826,0.829295456,8,0,1,0.002552597,15.56900024,1.233999968,0.029999999,44.65453675,-63.42905183,23.549243
"164",484,484,0,0,134,60,-7.207723618,2.17315793,19,21,3,0.620004356,7.593999863,1.083999991,0.143000007,44.65026507,-62.90905206,23.549243
"165",486,486,0,0,297,172,-5.365095615,4.290891171,28,29,0,0.047943641,8.321000099,0.703000009,0.061000001,44.5958449,-63.96089051,23.549243
"166",490,490,0,0,244,137,-4.603461266,1.728978515,33,10,0,0.151643559,9.961000443,1.036999941,0.092,44.54108207,-63.95338066,23.549243
"167",491,491,0,0,495,298,-1.82479775,4.580402851,34,29,0,0.053528987,8.152999878,0.786000013,0.022,44.53738448,-64.01675873,23.549243
"168",494,494,0,0,199,130,-7.933684349,5.238694191,16,19,0,0.058642067,9.954000473,0.455000013,0.046999998,44.49362626,-64.17667634,23.549243
"169",497,497,0,0,126,517,0.250921488,4.301434994,24,18,0,0.014590557,10.68500042,1.208999991,0.078000002,44.47480608,-64.13713155,23.549243
"170",499,499,0,0,52,78,-2.208364964,4.962407589,36,18,0,0.376310796,10.11999989,1.574000001,0.068999998,44.47758365,-63.54657874,23.549243
"171",500,500,0,0,83,392,-1.219045043,1.43550384,36,7,0,0.08484026,10.2869997,1.424000025,0.048,44.47360854,-63.58570743,23.549243
"172",501,501,0,0,93,428,-2.975396395,2.209631681,37,2,2,0.002060387,12.1619997,1.20599997,0.072999999,44.45953012,-63.73207308,23.549243
"173",502,502,0,0,113,552,0.326478004,2.898095131,40,5,2,0.001622854,13.39700031,1.460999966,0.064000003,44.45891686,-63.72942569,23.549243
"174",503,503,0,0,96,456,-0.236047074,1.896009684,39,3,2,0.001193762,14.99800014,1.707000017,0.039999999,44.45894767,-63.72458657,23.549243
"175",506,506,0,0,94,530,-1.522719502,1.31625104,38,1,2,0.084175676,12.00399971,1.523000002,0.018999999,44.45738902,-63.72192764,23.549243
"176",508,508,0,0,85,361,-4.311228752,7.58438015,28,8,0,0.002977435,10.05099964,1.095999956,0.079000004,44.45586869,-63.66075841,23.549243
"177",509,509,0,0,82,360,-4.083210468,6.968214035,37,1,2,0.001131259,11.99100018,1.355999947,0.061999999,44.4550965,-63.73553709,23.549243
"178",511,511,0,0,90,345,0.860437691,1.576188326,40,6,2,0.148382455,11.05799961,1.279999971,0.035999998,44.45425771,-63.71880962,23.549243
"179",512,512,0,0,83,418,-3.045062304,3.929409742,38,3,2,0.029984951,12.06700039,1.353999972,0.068000004,44.45320607,-63.73551336,23.549243
"180",515,515,0,0,87,404,-1.360963821,2.576372862,39,2,2,0.104507573,12.19099998,1.875,0.166999996,44.45045464,-63.7222821,23.549243
"181",517,517,0,0,90,314,-5.813249111,10.14277077,34,3,0,0.003763595,10.19699955,1.069000006,0.071000002,44.44956471,-63.71347345,23.549243
"182",518,518,0,0,89,375,-2.437630415,4.33702755,38,1,1,0.000973168,12.95400047,1.743999958,0.131999999,44.44914401,-63.73018381,23.549243
"183",520,520,0,0,330,113,-2.585891724,2.804981232,20,11,0,0.204064623,10.68500042,0.814999998,0.101999998,44.44514013,-64.14183402,23.549243
"184",521,521,0,0,137,599,0.743315399,2.422912598,41,4,1,0.030409001,11.79199982,1.549999952,0.082000002,44.44792292,-63.72401039,23.549243
